CNES;UMS;DISTRITO SANITÁRIO
16934;UMS BAIRRO NOVO PSF;BAIRRO NOVO
7686625;UMS COQUEIROS PSF;BAIRRO NOVO
16977;UMS JOAO CANDIDO PSF;BAIRRO NOVO
16969;UMS NOSSA SENHORA APARECIDA PSF;BAIRRO NOVO
16942;UMS OSTERNACK PSF;BAIRRO NOVO
17027;UMS PARIGOT DE SOUZA;BAIRRO NOVO
17000;UMS SALVADOR ALLENDE PSF;BAIRRO NOVO
5446392;UMS SAMBAQUI PSF;BAIRRO NOVO
16993;UMS SAO JOAO DEL REY PSF;BAIRRO NOVO
3298949;UMS UMBARA II PSF;BAIRRO NOVO
3862224;UMS UMBARA PSF;BAIRRO NOVO
2639394;UMS XAPINHAL PSF;BAIRRO NOVO
17531;UMS ABAETE;BOA VISTA
6724299;UMS ABRANCHES;BOA VISTA
17523;UMS ATUBA;BOA VISTA
17515;UMS BACACHERI;BOA VISTA
2639378;UMS BAIRRO ALTO;BOA VISTA
17507;UMS BARREIRINHA;BOA VISTA
17493;UMS FERNANDO DE NORONHA;BOA VISTA
9381015;UMS JARDIM ALIANCA PSF;BOA VISTA
17477;UMS SANTA CANDIDA;BOA VISTA
17469;UMS SANTA EFIGENIA;BOA VISTA
17450;UMS TARUMA PSF;BOA VISTA
17442;UMS TINGUI;BOA VISTA
17426;UMS VILA DIANA;BOA VISTA
17434;UMS VILA ESPERANCA PSF;BOA VISTA
17558;UMS VILA LEONICE PSF;BOA VISTA
17191;UMS ERICO VERISSIMO PSF;BOQUEIRAO
17124;UMS ESMERALDA;BOQUEIRAO
17132;UMS EUCALIPTOS;BOQUEIRAO
17159;UMS IRMA TEREZA ARAUJO PSF;BOQUEIRAO
17213;UMS JARDIM PARANAENSE PSF;BOQUEIRAO
5709512;UMS MENONITAS;BOQUEIRAO
17140;UMS MORADIAS BELEM PSF;BOQUEIRAO
3507815;UMS PANTANAL PSF;BOQUEIRAO
17175;UMS SAO PEDRO;BOQUEIRAO
17167;UMS TAPAJOS;BOQUEIRAO
17221;UMS VILA HAUER;BOQUEIRAO
17248;UMS VISITACAO;BOQUEIRAO
17205;UMS WALDEMAR MONASTIER PSF;BOQUEIRAO
17183;UMS XAXIM;BOQUEIRAO
5506115;UMS ALVORADA PSF;CAJURU
17108;UMS CAJURU;CAJURU
17094;UMS CAMARGO;CAJURU
17035;UMS IRACEMA;CAJURU
17086;UMS LOTIGUACU PSF;CAJURU
2715899;UMS SALGADO FILHO;CAJURU
17078;UMS SAO DOMINGOS PSF;CAJURU
17116;UMS SAO PAULO;CAJURU
17051;UMS SOLITUDE PSF;CAJURU
3359646;UMS TRINDADE II PSF;CAJURU
17043;UMS TRINDADE PSF;CAJURU
2639408;UMS UBERABA DE CIMA;CAJURU
16918;UMS ATENAS;CIC
16896;UMS AUGUSTA PSF;CIC
16632;UMS BARIGUI PSF;CIC
2639440;UMS CAIUA;CIC
9110402;UMS CAMPO ALEGRE;CIC
2639424;UMS CANDIDO PORTINARI PSF;CIC
16810;UMS JARDIM GABINETO PSF;CIC
17272;UMS NOSSA SENHORA DA LUZ PSF;CIC
17302;UMS OSWALDO CRUZ PSF;CIC
16683;UMS SABARA PSF;CIC
16853;UMS SAO JOSE PSF;CIC
16713;UMS SAO MIGUEL;CIC
17388;UMS TAIZ VIVIANE MACHADO PSF;CIC
16721;UMS TANCREDO NEVES;CIC
5406617;UMS VILA SANDRA PSF;CIC
17345;UMS VILA VERDE PSF;CIC
5406625;UMS VITORIA REGIA PSF;CIC
15474;UMS CAPANEMA PSF;MATRIZ
3912698;UMS MAE CURITIBANA;MATRIZ
2639572;UMS OUVIDOR PARDINHO;MATRIZ
16624;UMS AURORA;PINHEIRINHO
17256;UMS CONCORDIA PSF;PINHEIRINHO
16667;UMS FANNY LINDOIA;PINHEIRINHO
17299;UMS IPIRANGA;PINHEIRINHO
17280;UMS MARIA ANGELICA PSF;PINHEIRINHO
17264;UMS NOSSA SENHORA DO SAGRADO CORACAO PSF;PINHEIRINHO
17337;UMS PARQUE INDUSTRIAL;PINHEIRINHO
16748;UMS VILA CLARICE;PINHEIRINHO
16756;UMS VILA FELIZ;PINHEIRINHO
16772;UMS VILA LEAO;PINHEIRINHO
17329;UMS VILA MACHADO;PINHEIRINHO
16659;UMS ESTRELA;PORTAO
16675;UMS PAROLIN PSF;PORTAO
16691;UMS SANTA AMELIA;PORTAO
16705;UMS SANTA QUITERIA;PORTAO
5484456;UMS SANTA QUITERIA II;PORTAO
16799;UMS SANTOS ANDRADE;PORTAO
16764;UMS VILA GUAIRA;PORTAO
16802;UMS BOM PASTOR;SANTA FELICIDADE
16829;UMS BUTIATUVINHA PSF;SANTA FELICIDADE
16888;UMS CAMPINA DO SIQUEIRA;SANTA FELICIDADE
16861;UMS NOVA ORLEANS;SANTA FELICIDADE
17485;UMS PILARZINHO;SANTA FELICIDADE
16837;UMS PINHEIROS;SANTA FELICIDADE
16926;UMS SANTA FELICIDADE;SANTA FELICIDADE
16845;UMS SAO BRAZ;SANTA FELICIDADE
16780;UMS UNIAO DAS VILAS;SANTA FELICIDADE
17418;UMS VISTA ALEGRE;SANTA FELICIDADE
16950;UMS CAXIMBA PSF;TATUQUARA
16985;UMS DOM BOSCO PSF;TATUQUARA
5196809;UMS MONTEIRO LOBATO PSF;TATUQUARA
17361;UMS MORADIAS DA ORDEM PSF;TATUQUARA
17353;UMS MORADIAS SANTA RITA PSF;TATUQUARA
17019;UMS PALMEIRAS PSF;TATUQUARA
17310;UMS POMPEIA PSF;TATUQUARA
5142725;UMS RIO BONITO PSF;TATUQUARA
